id	news_id	ratings_id
76	1904	76
77	1188	77
78	1347	78
79	155	79
80	683	80
81	473	81
82	557	82
83	215	83
84	820	84
85	1553	85
86	1186	86
87	379	87
88	1757	88
89	1111	89
91	324	91
92	324	92
93	1299	93
94	734	94
95	1264	95
96	1689	96
97	1225	97
98	837	98
99	1735	99
100	62	100
101	1038	101
102	837	102
103	1542	103
104	1341	104
105	1693	105
106	1664	106
107	973	107
109	927	109
110	450	110
111	47	111
112	214	112
114	234	114
115	450	115
116	1837	116
117	160	117
118	1203	118
119	466	119
120	802	120
122	450	122
123	186	123
124	1941	124
125	1141	125
126	1007	126
127	947	127
128	859	128
129	639	129
130	1648	130
131	861	131
132	973	132
133	938	133
134	1840	134
135	1225	135
136	1321	136
137	654	137
139	1613	139
140	1612	140
142	1216	142
143	1440	143
144	38	144
145	30	145
146	1163	146
147	1622	147
148	729	148
149	321	149
150	409	150
151	517	151
152	450	152
153	1612	153
154	450	154
155	863	155
156	548	156
157	905	157
158	758	158
160	1716	160
161	845	161
162	1206	162
163	838	163
164	9	164
166	1559	166
167	297	167
168	850	168
169	850	169
170	834	170
171	503	171
172	628	172
173	653	173
174	1676	174
175	76	175
176	2	176
177	52	177
178	816	178
179	263	179
180	192	180
181	238	181
182	1408	182
183	1395	183
184	338	184
186	1166	186
187	995	187
188	1181	188
189	376	189
191	727	191
192	116	192
193	189	193
194	1339	194
195	1629	195
197	813	197
198	1325	198
199	169	199
200	301	200
201	1603	201
202	169	202
203	1490	203
204	1603	204
205	816	205
206	816	206
207	875	207
208	108	208
209	1891	209
210	1142	210
211	1206	211
212	1348	212
213	1817	213
214	604	214
215	851	215
216	872	216
217	126	217
218	1872	218
219	959	219
220	1418	220
221	469	221
222	1373	222
223	1810	223
224	163	224
225	163	225
226	1830	226
227	1137	227
228	1743	228
229	388	229
230	1160	230
231	1113	231
232	681	232
233	367	233
234	1792	234
235	593	235
236	984	236
237	241	237
238	734	238
239	237	239
240	1159	240
241	997	241
242	1630	242
243	1630	243
244	1630	244
245	593	245
246	1630	246
247	1713	247
248	1154	248
249	834	249
250	1433	250
251	728	251
252	1795	252
253	653	253
254	348	254
255	376	255
256	1433	256
257	1473	257
259	1753	259
260	1753	260
263	802	263
264	1289	264
265	473	265
266	1433	266
267	39	267
269	930	269
270	1226	270
271	1854	271
272	1450	272
273	497	273
274	62	274
275	669	275
276	755	276
277	1757	277
278	823	278
280	492	280
281	62	281
282	1352	282
283	992	283
284	825	284
285	1564	285
286	699	286
287	1399	287
288	202	288
289	672	289
290	653	290
291	1606	291
292	1254	292
293	1705	293
294	507	294
295	60	295
296	211	296
297	1594	297
298	507	298
299	870	299
300	1935	300
301	105	301
302	540	302
303	192	303
304	1807	304
305	311	305
306	1264	306
307	349	307
308	460	308
309	618	309
310	1419	310
311	1187	311
312	1817	312
313	933	313
314	766	314
315	825	315
316	221	316
317	219	317
318	1660	318
319	1822	319
320	1933	320
321	98	321
322	512	322
323	211	323
324	833	324
325	478	325
326	222	326
327	222	327
328	1116	328
329	1677	329
330	1034	330
331	1232	331
332	702	332
333	740	333
334	64	334
335	1925	335
336	396	336
337	1358	337
338	871	338
339	425	339
341	409	341
342	1282	342
343	134	343
344	1524	344
345	455	345
346	817	346
347	34	347
348	488	348
349	1430	349
350	1000	350
351	272	351
352	1675	352
353	206	353
354	1426	354
355	1191	355
356	1383	356
357	1109	357
358	323	358
359	1116	359
360	1395	360
361	246	361
362	745	362
363	1069	363
364	677	364
365	1206	365
366	706	366
367	1278	367
368	1000	368
370	607	370
371	1199	371
372	1883	372
373	1199	373
374	362	374
375	663	375
376	261	376
378	363	378
380	841	380
381	831	381
382	841	382
383	1266	383
384	241	384
386	1842	386
387	469	387
388	1176	388
389	459	389
390	459	390
392	1181	392
393	1749	393
394	1403	394
395	757	395
396	1049	396
397	1093	397
398	1461	398
399	1343	399
400	1731	400
402	920	402
403	699	403
404	370	404
